aliases,industries,countries,software,malware,vulns,targeted_products,attacks
Mudcarp,Manufacturing,BEL,COBALTSTRIKE,ABPTTS,CVE-2017-0148,Virtualization,T1098
Red Ladon,Aerospace & Defense,SAU,DSGET,ACEHASH,CVE-2017-0146,SIMATIC S7-1500T Firmware,T1555
TEMP.Periscope,Financial Services,TWN,DSQUERY,AIRBREAK,CVE-2017-0145,Ibm Security Network Protection Xgs 4100,T1573
Deep Panda,Chemicals & Materials,MYS,FSCAN,BADFLICK,CVE-2017-0143,Opera,T1021
Leviathan,Construction & Engineering,KHM,GSECDUMP,BADSIGN,CVE-2014-6352,Lefthand OS,T1003
Hellsing,Healthcare,GBR,,BLACKCOFFEE,CVE-2014-0160,Bladesystem C-Class Onboard Administrator,T1003.001
NanHaiShu,Legal & Professional Services,CHE,,CHINACHOP,CVE-2018-0802,Ibm Smartcloud Entry,T1003.003
Periscope,Retail,NOR,,COOKIEFISH,CVE-2017-8759,Version Control Agent,T1007
Flax Typhoon,Hospitality,HKG,,DADBOD,CVE-2017-8570,Security Management,T1010
TA423,Technology,PHL,,DADJOKE,CVE-2017-11882,Laserjet Pro M706,T1012
,Agriculture,USA,,DADSTACHE,CVE-2017-0199,Relion 650 Series,T1014
,Media & Entertainment,DEU,,DEATHCLOCK,CVE-2017-0147,Gentoo (Rolling Release),T1016
,Governments,,,DISHCLOTH,CVE-2017-0144,Nonstop Volume Level Encryption J06.12,T1021.001
,Automotive,,,ESKC2,CVE-2012-0158,Enterprise Linux Server AUS (OS),T1021.004
,Civil Society & Non-Profits,,,EVILTECH,CVE-2022-37042,Ws Ftp Professional,T1021.006
,Oil & Gas,,,FIELDGOAL,CVE-2022-41352,Aura Presence Services,T1027.002
,Education,,,FINDLOCK,,Asset Manager,T1027.003
,Telecommunications,,,FRESHAIR,,Google Search Appliance,T1027.005
,Transportation,,,GEARSHIFT,,Security Information And Event Management (Siem),T1027
,Energy & Utilities,,,GREENPIG,,Entuity Network Monitoring For Bppm,T1033
,,,,GRILLMARK,,Malware Analysis Appliance (Application),T1036
,,,,Gh0st,,Nonstop Volume Level Encryption J06.11,T1036.001
,,,,HIGHNOON,,S1000,T1046
,,,,HOMEFRY,,Proactivenet Performance Management Suite Server,T1047
,,,,HOUDINI,,Network Node Manager,T1053
,,,,HTRAN,,Airport Extreme Base Station,T1053.002
,,,,JFOLDER,,Proxyav,T1053.005
,,,,JSHELL,,Oracle Communication Session Monitor,T1055
,,,,JUMPKICK,,Hp Integrated Lights-Out 2 (Ilo2),T1055.003
,,,,LONGTALK,,Rational ClearQuest,T1055.012
,,,,LUNCHMONEY,,Endpoint Security Vpn (Application),T1056
,,,,METASPLOIT,,Antivirus For Vshield,T1056.001
,,,,METERPRETER,,Sdn Ve,T1057
,,,,MOVIETIME,,Tivoli Storage Flashcopy Manager (Application),T1059
,,,,MSVCTL,,Fortios (OS),T1059.001
,,,,MURKYCATS,,Smart Zero Core,T1059.003
,,,,MURKYSHELL,,It Executive Scorecard,T1059.005
,,,,MURKYTOP,,Connectport X2E,T1059.006
,,,,ODDGOMA,,Afraria 7,T1059.007
,,,,PAPERCUT,,Windows Server 2016 (OS),T1069
,,,,PAPERPUSH,,Sql Server (Application),T1070
,,,,PHOTO,,License Server For Windows,T1070.004
,,,,PHOTO.ARP,,UCMDB Browser,T1070.006
,,,,PHOTO.FANG,,System X3500 Series,T1071
,,,,RABBITPUNCH,,Collaboration,T1071.001
,,,,REDMAGE,,Storwise v7000 Unified,T1082
,,,,RELAYRACE,,Horizon Mirage Edge Gateway,T1083
,,,,SIDETALK,,Biztalk Server,T1087
,,,,SKNET,,MiVoice,T1090
,,,,SODACAN,,S9922l Firmware,T1090.003
,,,,SOGU,,Contact Center Manager,T1095
,,,,STONEDOWN,,Layer 7 Api Gateway,T1124
,,,,TIMESPLIT,,Office 2013 Rt (Application),T1102
,,,,TRACKS,,Nonstop Volume Level Encryption J06.15.01,T1105
,,,,TRAFFIX,,Utm Liveconnect Servers,T1112
,,,,TRANSPORTER,,Gluster Storage,T1113
,,,,TWONICKS,,Security Gateway (Application),T1115
,,,,WASHBOARD,,Sybase Sql Anywhere Ondemand,T1133
,,,,WAVEKEY,,T610 Thin Client,T1134
,,,,WIDETONE,,Big-Ip Edge Clients For Linux 7080,T1134.001
,,,,WILDELK,,Big-Ip Edge Clients For Linux 7101,T1140
,,,,WMIEXEC,,Application Processing Engine Firmware,T1189
,,,,XTHIEF,,Fortigate,T1190
,,,,ZXSHELL,,Nonstop Volume Level Encryption J06.10.02,T1202
,,,,,,Smartcloud Orchestrator,T1204
,,,,,,Unified Threat Management (UTM) Manager,T1204.002
,,,,,,Red Hat Enterprise Linux Server,T1213
,,,,,,FortiVoice,T1218
,,,,,,Aura Conferencing,T1218.010
,,,,,,Big-Ip Edge Clients For Mac Os X 7101,T1221
,,,,,,Exactamix Em1200,T1482
,,,,,,Contact Center - Express,T1489
,,,,,,Aura Application Enablement Services,T1497
,,,,,,Sybase Open Server,T1497.001
,,,,,,BladeLogic Decision Support for Server Automation,T1518
,,,,,,Layer 7 Api Portal,T1543
,,,,,,Simatic S7-1500 Cpu,T1505
,,,,,,Debian Linux,T1505.003
,,,,,,Windows Server 2016,T1529
,,,,,,Security Appscan Source,T1539
,,,,,,Tealeaf Cxverify,T1543.003
,,,,,,Endpoint Manager For Remote Control,T1547.001
,,,,,,Big-IP GTM,T1547.009
,,,,,,Tivoli Endpoint Manager (Application),T1547
,,,,,,GAiA OS,T1553
,,,,,,Nonstop Volume Level Encryption J06.10.01,T1553.002
,,,,,,Hp Integrated Lights-Out 2,T1555.003
,,,,,,Oracle Mysql Workbench,T1559
,,,,,,Hp Storeall Os,T1560
,,,,,,Ssl Visibility Applicance,T1560.001
,,,,,,Flex System Manager (Application),T1560.002
,,,,,,IBM Flex System v7000 Storage Node,T1564
,,,,,,T510 Thin Client,T1564.001
,,,,,,Sybase IQ,T1564.003
,,,,,,Mainview Console Automation For Zenterprise,T1566
,,,,,,Airport Firmware,T1566.001
,,,,,,Nonstop Volume Level Encryption J06.11.01,T1587.003
,,,,,,Cloudplatform (Application),T1573.002
,,,,,,Hp Storeever Esl G3 Tape Libraries,T1569
,,,,,,Bluekai,T1569.002
,,,,,,Sybase Adaptive Server Enterprise 16,T1571
,,,,,,Xiv Storage System Gen3,T1572
,,,,,,License Server Vpx,T1574
,,,,,,AltaVault,T1574.001
,,,,,,System X 3650,T1574.002
,,,,,,XenClient XT,T1583
,,,,,,BIG-IP Link Controller,T1583.003
,,,,,,Windows 2003 Server (OS),T1584
,,,,,,Xp P9500 Disk Array Oss 70-06-00/00,T1587
,,,,,,T620 Thin Client,T1587.002
,,,,,,FortiMail,T1588
,,,,,,Big-Ip Edge Clients for Apple iOS,T1588.003
,,,,,,Ehealth,T1588.004
,,,,,,Nonstop Volume Level Encryption J06.14.01,T1595
,,,,,,Unified IP Phone 8900,T1595.001
,,,,,,Dcs-5615,
,,,,,,D125 Copier/Printer,
,,,,,,Systems Director Storage Control,
,,,,,,Dynamic System Analysis,
,,,,,,Hp Officejet Pro X576Dw,
,,,,,,Email And Server Security 11,
,,,,,,SQL Server,
,,,,,,Horizon Workspace Server,
